Wall time,Step,Value
1712111608.1302536,688,0.9938079714775085
1712111616.328599,1076,0.9903159737586975
1712111653.5090435,2805,0.9747549891471863
1712111660.5675297,3119,0.9719290137290955
1712111702.60865,5029,0.954738974571228
1712111719.6523802,5856,0.9472960233688354
1712111846.7223985,11939,0.8925489783287048
1712111850.763555,12133,0.8908029794692993
1712111967.7019994,17834,0.839493989944458
1712111970.057796,17929,0.8386390209197998
1712111988.5195622,18849,0.8303589820861816
1712111992.0838377,18994,0.8290539979934692
1712112042.1650202,21418,0.807237982749939
1712112060.1789052,22292,0.7993720173835754
1712112120.0898128,25128,0.7738479971885681
1712112123.9578798,25298,0.7723180055618286
1712112167.4937625,27349,0.7538589835166931
1712112180.6346576,27965,0.7483149766921997
1712112183.971612,28095,0.7471449971199036
1712112240.3518953,30812,0.7226920127868652
1712112255.0133045,31489,0.7165989875793457
1712112324.50015,34760,0.6871600151062012
1712112370.8807878,36868,0.6681879758834839
1712112378.4342523,37244,0.6648039817810059
1712112405.3085563,38552,0.6530320048332214
1712112426.9324844,39644,0.6432039737701416
1712112507.6604598,43530,0.6082299947738647
1712112543.2640676,45204,0.5931640267372131
1712112593.137627,47513,0.5723829865455627
1712112624.13203,48943,0.5595129728317261
1712112660.4447703,50515,0.5453649759292603
1712112681.7855341,51318,0.5381379723548889
1712112695.9889843,51876,0.5331159830093384
1712112696.797161,51909,0.5328189730644226
1712112711.2329733,52477,0.5277069807052612
1712112764.0433135,54096,0.5131360292434692
1712112766.8955092,54174,0.5124340057373047
1712112775.3180087,54417,0.510246992111206
1712112776.139481,54442,0.510021984577179
1712112779.5888267,54531,0.5092210173606873
1712112796.9918494,55025,0.5047749876976013
1712112810.5739732,55438,0.5010579824447632
1712112834.275619,56135,0.49478501081466675
1712112866.294976,57128,0.48584800958633423
1712112868.396378,57189,0.4852989912033081
1712112870.8326752,57277,0.4845069944858551
1712112887.6746874,57789,0.47989898920059204
1712112901.2384684,58202,0.4761820137500763
1712112911.6986976,58514,0.47337400913238525
1712112932.5952406,59169,0.46747899055480957
1712112936.880039,59296,0.4663360118865967
1712112947.585101,59614,0.46347400546073914
1712112948.219116,59632,0.4633120000362396
1712112966.161219,60132,0.45881199836730957
1712112970.7425702,60253,0.4577229917049408
1712112971.5723398,60277,0.45750701427459717
1712112972.8728645,60317,0.4571470022201538
1712113032.9427948,61997,0.4420270025730133
1712113044.1941836,62310,0.4392099976539612
1712113056.1409647,62628,0.43634799122810364
1712113064.2887275,62842,0.43442198634147644
1712113098.8767157,63784,0.4259440004825592
1712113151.2437398,65203,0.41317299008369446
1712113186.0198138,66116,0.40495601296424866
1712113188.9937725,66188,0.4043079912662506
1712113262.067179,68175,0.3864249885082245
1712113283.8061495,68749,0.3812589943408966
1712113285.2857661,68789,0.38089901208877563
1712113308.9782236,69432,0.37511199712753296
1712113314.0245845,69569,0.37387898564338684
1712113343.5178833,70392,0.3664720058441162
1712113358.0744333,70811,0.3627009987831116
1712113359.3412037,70855,0.3623049855232239
1712113363.789522,70994,0.361054003238678
1712113373.2234764,71253,0.3587230145931244
1712113417.8539708,72579,0.34678900241851807
1712113419.6570678,72638,0.3462580144405365
1712113420.6107426,72667,0.34599700570106506
1712113425.9331222,72833,0.3445029854774475
1712113430.3710148,72985,0.3431349992752075
1712113442.2121718,73333,0.34000301361083984
1712113464.2920587,74048,0.3335680067539215
1712113467.6640394,74152,0.33263200521469116
1712113485.6741333,74698,0.32771798968315125
1712113488.5419104,74790,0.3268899917602539
1712113490.0460951,74836,0.32647600769996643
1712113504.6707015,75282,0.3224619925022125
1712113520.8628728,75811,0.3177010118961334
1712113532.2097864,76138,0.3147580027580261
1712113572.217964,77457,0.3028869926929474
1712113604.253804,78532,0.29321199655532837
1712113623.4682853,79154,0.28761398792266846
1712113637.227703,79648,0.2831679880619049
1712113640.523513,79763,0.282133013010025
1712113649.2336202,80074,0.27933400869369507
1712113702.0167603,82893,0.25396299362182617
1712113705.181925,83028,0.2527480125427246
1712113722.4020357,83940,0.2445400059223175
1712113741.5628593,85005,0.23495499789714813
1712113755.9583905,85788,0.22790800034999847
1712113763.3961675,86179,0.2243890017271042
1712113775.9507325,86904,0.2178640067577362
1712113790.3400278,87592,0.21167199313640594
1712113792.290529,87715,0.2105650007724762
1712113801.0594406,88194,0.2062540054321289
1712113806.1733375,88480,0.20367999374866486
1712113818.8653214,89122,0.19790199398994446
1712113819.339461,89148,0.19766800105571747
1712113825.832831,89463,0.19483299553394318
1712113827.9717653,89565,0.193914994597435
1712113832.0715895,89746,0.19228599965572357
1712113838.9098606,90056,0.1894959956407547
1712113851.099053,90744,0.18330399692058563
1712113870.2227407,91875,0.1731249988079071
1712113934.0503204,95818,0.13763800263404846
1712113936.5130432,95931,0.13662099838256836
1712113949.712589,96713,0.12958300113677979
1712113995.841767,98880,0.11007999628782272
1712113997.5996559,98968,0.10928799957036972
1712114012.2415133,99555,0.10400500148534775
1712114027.058848,100248,0.10000000149011612
1712114080.7111995,101497,0.10000000149011612
1712114089.8794153,101701,0.10000000149011612
1712114114.1948946,102222,0.10000000149011612
1712114153.165204,103052,0.10000000149011612
1712114154.990935,103093,0.10000000149011612
1712114211.7302313,104307,0.10000000149011612
1712114214.9909155,104381,0.10000000149011612
1712114247.5267396,105086,0.10000000149011612
1712114275.7100682,105688,0.10000000149011612
1712114323.65798,106694,0.10000000149011612
1712114369.5518847,107658,0.10000000149011612
1712114428.0324125,108990,0.10000000149011612
1712114445.0509474,109369,0.10000000149011612
1712114507.1679254,111283,0.10000000149011612
1712114523.781865,111718,0.10000000149011612
